,season,date_code,weekending,region,Respiratory_Virus,year,month,Number_Positive
56,2009-2010,2010-02-01,2010-02-06,Northern,RSV,2010,2,84
57,2009-2010,2010-02-01,2010-02-06,Southern,Influenza_A,2010,2,2
58,2009-2010,2010-02-01,2010-02-06,Southern,Influenza_B,2010,2,0
59,2009-2010,2010-02-01,2010-02-06,Southern,RSV,2010,2,96
60,2009-2010,2010-02-08,2010-02-13,Bay Area,Influenza_A,2010,2,6
61,2009-2010,2010-02-08,2010-02-13,Bay Area,Influenza_B,2010,2,0
62,2009-2010,2010-02-08,2010-02-13,Bay Area,RSV,2010,2,281
63,2009-2010,2010-02-08,2010-02-13,Central,Influenza_A,2010,2,2
64,2009-2010,2010-02-08,2010-02-13,Central,Influenza_B,2010,2,1
65,2009-2010,2010-02-08,2010-02-13,Central,RSV,2010,2,160
66,2009-2010,2010-02-08,2010-02-13,Northern,Influenza_A,2010,2,1
67,2009-2010,2010-02-08,2010-02-13,Northern,Influenza_B,2010,2,0
68,2009-2010,2010-02-08,2010-02-13,Northern,RSV,2010,2,82
69,2009-2010,2010-02-08,2010-02-13,Southern,Influenza_A,2010,2,2
70,2009-2010,2010-02-08,2010-02-13,Southern,Influenza_B,2010,2,0
71,2009-2010,2010-02-08,2010-02-13,Southern,RSV,2010,2,82
72,2009-2010,2010-02-15,2010-02-20,Bay Area,Influenza_A,2010,2,4
73,2009-2010,2010-02-15,2010-02-20,Bay Area,Influenza_B,2010,2,0
74,2009-2010,2010-02-15,2010-02-20,Bay Area,RSV,2010,2,257
75,2009-2010,2010-02-15,2010-02-20,Central,Influenza_A,2010,2,2
76,2009-2010,2010-02-15,2010-02-20,Central,Influenza_B,2010,2,1
77,2009-2010,2010-02-15,2010-02-20,Central,RSV,2010,2,200
78,2009-2010,2010-02-15,2010-02-20,Northern,Influenza_A,2010,2,1
79,2009-2010,2010-02-15,2010-02-20,Northern,Influenza_B,2010,2,0
80,2009-2010,2010-02-15,2010-02-20,Northern,RSV,2010,2,80
81,2009-2010,2010-02-15,2010-02-20,Southern,Influenza_A,2010,2,1
82,2009-2010,2010-02-15,2010-02-20,Southern,Influenza_B,2010,2,2
83,2009-2010,2010-02-15,2010-02-20,Southern,RSV,2010,2,79
84,2009-2010,2010-02-22,2010-02-27,Bay Area,Influenza_A,2010,2,2
85,2009-2010,2010-02-22,2010-02-27,Bay Area,Influenza_B,2010,2,0
86,2009-2010,2010-02-22,2010-02-27,Bay Area,RSV,2010,2,221
87,2009-2010,2010-02-22,2010-02-27,Central,Influenza_A,2010,2,0
88,2009-2010,2010-02-22,2010-02-27,Central,Influenza_B,2010,2,0
89,2009-2010,2010-02-22,2010-02-27,Central,RSV,2010,2,158
90,2009-2010,2010-02-22,2010-02-27,Northern,Influenza_A,2010,2,2
91,2009-2010,2010-02-22,2010-02-27,Northern,Influenza_B,2010,2,0
92,2009-2010,2010-02-22,2010-02-27,Northern,RSV,2010,2,70
93,2009-2010,2010-02-22,2010-02-27,Southern,Influenza_A,2010,2,2
94,2009-2010,2010-02-22,2010-02-27,Southern,Influenza_B,2010,2,0
95,2009-2010,2010-02-22,2010-02-27,Southern,RSV,2010,2,80
96,2009-2010,2010-03-01,2010-03-06,Bay Area,Influenza_A,2010,3,2
97,2009-2010,2010-03-01,2010-03-06,Bay Area,Influenza_B,2010,3,0
98,2009-2010,2010-03-01,2010-03-06,Bay Area,RSV,2010,3,91
99,2009-2010,2010-03-01,2010-03-06,Central,Influenza_A,2010,3,4
100,2009-2010,2010-03-01,2010-03-06,Central,Influenza_B,2010,3,0
101,2009-2010,2010-03-01,2010-03-06,Central,RSV,2010,3,214
102,2009-2010,2010-03-01,2010-03-06,Northern,Influenza_A,2010,3,0
103,2009-2010,2010-03-01,2010-03-06,Northern,Influenza_B,2010,3,0
104,2009-2010,2010-03-01,2010-03-06,Northern,RSV,2010,3,28
105,2009-2010,2010-03-01,2010-03-06,Southern,Influenza_A,2010,3,2
106,2009-2010,2010-03-01,2010-03-06,Southern,Influenza_B,2010,3,0
107,2009-2010,2010-03-01,2010-03-06,Southern,RSV,2010,3,66
108,2009-2010,2010-03-08,2010-03-13,Bay Area,Influenza_A,2010,3,2
109,2009-2010,2010-03-08,2010-03-13,Bay Area,Influenza_B,2010,3,0
110,2009-2010,2010-03-08,2010-03-13,Bay Area,RSV,2010,3,125
111,2009-2010,2010-03-08,2010-03-13,Central,Influenza_A,2010,3,1
112,2009-2010,2010-03-08,2010-03-13,Central,Influenza_B,2010,3,0
113,2009-2010,2010-03-08,2010-03-13,Central,RSV,2010,3,100
114,2009-2010,2010-03-08,2010-03-13,Northern,Influenza_A,2010,3,0
115,2009-2010,2010-03-08,2010-03-13,Northern,Influenza_B,2010,3,0
116,2009-2010,2010-03-08,2010-03-13,Northern,RSV,2010,3,50
117,2009-2010,2010-03-08,2010-03-13,Southern,Influenza_A,2010,3,0
118,2009-2010,2010-03-08,2010-03-13,Southern,Influenza_B,2010,3,0
119,2009-2010,2010-03-08,2010-03-13,Southern,RSV,2010,3,59
120,2009-2010,2010-03-15,2010-03-20,Bay Area,Influenza_A,2010,3,1
121,2009-2010,2010-03-15,2010-03-20,Bay Area,Influenza_B,2010,3,0
122,2009-2010,2010-03-15,2010-03-20,Bay Area,RSV,2010,3,115
123,2009-2010,2010-03-15,2010-03-20,Central,Influenza_A,2010,3,1
124,2009-2010,2010-03-15,2010-03-20,Central,Influenza_B,2010,3,0
125,2009-2010,2010-03-15,2010-03-20,Central,RSV,2010,3,82
126,2009-2010,2010-03-15,2010-03-20,Northern,Influenza_A,2010,3,0
127,2009-2010,2010-03-15,2010-03-20,Northern,Influenza_B,2010,3,0
128,2009-2010,2010-03-15,2010-03-20,Northern,RSV,2010,3,37
129,2009-2010,2010-03-15,2010-03-20,Southern,Influenza_A,2010,3,1
130,2009-2010,2010-03-15,2010-03-20,Southern,Influenza_B,2010,3,1
131,2009-2010,2010-03-15,2010-03-20,Southern,RSV,2010,3,37
132,2009-2010,2010-03-22,2010-03-27,Bay Area,Influenza_A,2010,3,1
133,2009-2010,2010-03-22,2010-03-27,Bay Area,Influenza_B,2010,3,0
134,2009-2010,2010-03-22,2010-03-27,Bay Area,RSV,2010,3,68
135,2009-2010,2010-03-22,2010-03-27,Central,Influenza_A,2010,3,0
136,2009-2010,2010-03-22,2010-03-27,Central,Influenza_B,2010,3,0
137,2009-2010,2010-03-22,2010-03-27,Central,RSV,2010,3,28
138,2009-2010,2010-03-22,2010-03-27,Northern,Influenza_A,2010,3,0
139,2009-2010,2010-03-22,2010-03-27,Northern,Influenza_B,2010,3,0
140,2009-2010,2010-03-22,2010-03-27,Northern,RSV,2010,3,26
141,2009-2010,2010-03-22,2010-03-27,Southern,Influenza_A,2010,3,1
142,2009-2010,2010-03-22,2010-03-27,Southern,Influenza_B,2010,3,1
143,2009-2010,2010-03-22,2010-03-27,Southern,RSV,2010,3,30
144,2009-2010,2010-03-29,2010-04-03,Bay Area,Influenza_A,2010,3,1
145,2009-2010,2010-03-29,2010-04-03,Bay Area,Influenza_B,2010,3,0
146,2009-2010,2010-03-29,2010-04-03,Bay Area,RSV,2010,3,54
147,2009-2010,2010-03-29,2010-04-03,Central,Influenza_A,2010,3,0
148,2009-2010,2010-03-29,2010-04-03,Central,Influenza_B,2010,3,0
149,2009-2010,2010-03-29,2010-04-03,Central,RSV,2010,3,26
150,2009-2010,2010-03-29,2010-04-03,Northern,Influenza_A,2010,3,0
151,2009-2010,2010-03-29,2010-04-03,Northern,Influenza_B,2010,3,0
152,2009-2010,2010-03-29,2010-04-03,Northern,RSV,2010,3,13
153,2009-2010,2010-03-29,2010-04-03,Southern,Influenza_A,2010,3,1
154,2009-2010,2010-03-29,2010-04-03,Southern,Influenza_B,2010,3,0
155,2009-2010,2010-03-29,2010-04-03,Southern,RSV,2010,3,11
156,2009-2010,2010-04-05,2010-04-10,Bay Area,Influenza_A,2010,4,3
157,2009-2010,2010-04-05,2010-04-10,Bay Area,Influenza_B,2010,4,0
158,2009-2010,2010-04-05,2010-04-10,Bay Area,RSV,2010,4,23
159,2009-2010,2010-04-05,2010-04-10,Central,Influenza_A,2010,4,0
160,2009-2010,2010-04-05,2010-04-10,Central,Influenza_B,2010,4,0
161,2009-2010,2010-04-05,2010-04-10,Central,RSV,2010,4,22
162,2009-2010,2010-04-05,2010-04-10,Northern,Influenza_A,2010,4,0
163,2009-2010,2010-04-05,2010-04-10,Northern,Influenza_B,2010,4,0
164,2009-2010,2010-04-05,2010-04-10,Northern,RSV,2010,4,16
165,2009-2010,2010-04-05,2010-04-10,Southern,Influenza_A,2010,4,0
166,2009-2010,2010-04-05,2010-04-10,Southern,Influenza_B,2010,4,0
167,2009-2010,2010-04-05,2010-04-10,Southern,RSV,2010,4,9
168,2009-2010,2010-04-12,2010-04-17,Bay Area,Influenza_A,2010,4,2
169,2009-2010,2010-04-12,2010-04-17,Bay Area,Influenza_B,2010,4,1
170,2009-2010,2010-04-12,2010-04-17,Bay Area,RSV,2010,4,22
171,2009-2010,2010-04-12,2010-04-17,Central,Influenza_A,2010,4,0
172,2009-2010,2010-04-12,2010-04-17,Central,Influenza_B,2010,4,0
173,2009-2010,2010-04-12,2010-04-17,Central,RSV,2010,4,10
174,2009-2010,2010-04-12,2010-04-17,Northern,Influenza_A,2010,4,0
175,2009-2010,2010-04-12,2010-04-17,Northern,Influenza_B,2010,4,0
176,2009-2010,2010-04-12,2010-04-17,Northern,RSV,2010,4,0
177,2009-2010,2010-04-12,2010-04-17,Southern,Influenza_A,2010,4,0
178,2009-2010,2010-04-12,2010-04-17,Southern,Influenza_B,2010,4,0
179,2009-2010,2010-04-12,2010-04-17,Southern,RSV,2010,4,5
180,2009-2010,2010-04-19,2010-04-24,Bay Area,Influenza_A,2010,4,3
181,2009-2010,2010-04-19,2010-04-24,Bay Area,Influenza_B,2010,4,0
182,2009-2010,2010-04-19,2010-04-24,Bay Area,RSV,2010,4,21
183,2009-2010,2010-04-19,2010-04-24,Central,Influenza_A,2010,4,0
184,2009-2010,2010-04-19,2010-04-24,Central,Influenza_B,2010,4,0
185,2009-2010,2010-04-19,2010-04-24,Central,RSV,2010,4,4
186,2009-2010,2010-04-19,2010-04-24,Northern,Influenza_A,2010,4,2
187,2009-2010,2010-04-19,2010-04-24,Northern,Influenza_B,2010,4,0
188,2009-2010,2010-04-19,2010-04-24,Northern,RSV,2010,4,5
189,2009-2010,2010-04-19,2010-04-24,Southern,Influenza_A,2010,4,0
190,2009-2010,2010-04-19,2010-04-24,Southern,Influenza_B,2010,4,0
191,2009-2010,2010-04-19,2010-04-24,Southern,RSV,2010,4,0
192,2009-2010,2010-04-26,2010-05-01,Bay Area,Influenza_A,2010,4,1
193,2009-2010,2010-04-26,2010-05-01,Bay Area,Influenza_B,2010,4,0
194,2009-2010,2010-04-26,2010-05-01,Bay Area,RSV,2010,4,11
195,2009-2010,2010-04-26,2010-05-01,Central,Influenza_A,2010,4,0
196,2009-2010,2010-04-26,2010-05-01,Central,Influenza_B,2010,4,1
197,2009-2010,2010-04-26,2010-05-01,Central,RSV,2010,4,2
198,2009-2010,2010-04-26,2010-05-01,Northern,Influenza_A,2010,4,0
199,2009-2010,2010-04-26,2010-05-01,Northern,Influenza_B,2010,4,0
200,2009-2010,2010-04-26,2010-05-01,Northern,RSV,2010,4,3
201,2009-2010,2010-04-26,2010-05-01,Southern,Influenza_A,2010,4,0
202,2009-2010,2010-04-26,2010-05-01,Southern,Influenza_B,2010,4,0
203,2009-2010,2010-04-26,2010-05-01,Southern,RSV,2010,4,2
204,2009-2010,2010-05-03,2010-05-08,Bay Area,Influenza_A,2010,5,0
205,2009-2010,2010-05-03,2010-05-08,Bay Area,Influenza_B,2010,5,0
206,2009-2010,2010-05-03,2010-05-08,Bay Area,RSV,2010,5,11
207,2009-2010,2010-05-03,2010-05-08,Central,Influenza_A,2010,5,0
208,2009-2010,2010-05-03,2010-05-08,Central,Influenza_B,2010,5,1
209,2009-2010,2010-05-03,2010-05-08,Central,RSV,2010,5,4
210,2009-2010,2010-05-03,2010-05-08,Northern,Influenza_A,2010,5,0
211,2009-2010,2010-05-03,2010-05-08,Northern,Influenza_B,2010,5,0
212,2009-2010,2010-05-03,2010-05-08,Northern,RSV,2010,5,1
213,2009-2010,2010-05-03,2010-05-08,Southern,Influenza_A,2010,5,0
214,2009-2010,2010-05-03,2010-05-08,Southern,Influenza_B,2010,5,0
215,2009-2010,2010-05-03,2010-05-08,Southern,RSV,2010,5,2
216,2009-2010,2010-05-10,2010-05-15,Bay Area,Influenza_A,2010,5,0
217,2009-2010,2010-05-10,2010-05-15,Bay Area,Influenza_B,2010,5,0
218,2009-2010,2010-05-10,2010-05-15,Bay Area,RSV,2010,5,2
219,2009-2010,2010-05-10,2010-05-15,Central,Influenza_A,2010,5,0
220,2009-2010,2010-05-10,2010-05-15,Central,Influenza_B,2010,5,0
221,2009-2010,2010-05-10,2010-05-15,Central,RSV,2010,5,2
222,2009-2010,2010-05-10,2010-05-15,Northern,Influenza_A,2010,5,0
223,2009-2010,2010-05-10,2010-05-15,Northern,Influenza_B,2010,5,0
224,2009-2010,2010-05-10,2010-05-15,Northern,RSV,2010,5,0
225,2009-2010,2010-05-10,2010-05-15,Southern,Influenza_A,2010,5,0
226,2009-2010,2010-05-10,2010-05-15,Southern,Influenza_B,2010,5,0
227,2009-2010,2010-05-10,2010-05-15,Southern,RSV,2010,5,0
228,2009-2010,2010-05-17,2010-05-22,Bay Area,Influenza_A,2010,5,1
229,2009-2010,2010-05-17,2010-05-22,Bay Area,Influenza_B,2010,5,0
230,2009-2010,2010-05-17,2010-05-22,Bay Area,RSV,2010,5,0
231,2009-2010,2010-05-17,2010-05-22,Central,Influenza_A,2010,5,0
232,2009-2010,2010-05-17,2010-05-22,Central,Influenza_B,2010,5,0
233,2009-2010,2010-05-17,2010-05-22,Central,RSV,2010,5,1
234,2009-2010,2010-05-17,2010-05-22,Northern,Influenza_A,2010,5,0
235,2009-2010,2010-05-17,2010-05-22,Northern,Influenza_B,2010,5,2
236,2009-2010,2010-05-17,2010-05-22,Northern,RSV,2010,5,2
237,2009-2010,2010-05-17,2010-05-22,Southern,Influenza_A,2010,5,0
238,2009-2010,2010-05-17,2010-05-22,Southern,Influenza_B,2010,5,0
239,2009-2010,2010-05-17,2010-05-22,Southern,RSV,2010,5,1
240,2009-2010,2010-05-24,2010-05-29,Bay Area,Influenza_A,2010,5,0
241,2009-2010,2010-05-24,2010-05-29,Bay Area,Influenza_B,2010,5,0
242,2009-2010,2010-05-24,2010-05-29,Bay Area,RSV,2010,5,0
243,2009-2010,2010-05-24,2010-05-29,Central,Influenza_A,2010,5,0
244,2009-2010,2010-05-24,2010-05-29,Central,Influenza_B,2010,5,1
245,2009-2010,2010-05-24,2010-05-29,Central,RSV,2010,5,3
246,2009-2010,2010-05-24,2010-05-29,Northern,Influenza_A,2010,5,1
247,2009-2010,2010-05-24,2010-05-29,Northern,Influenza_B,2010,5,0
248,2009-2010,2010-05-24,2010-05-29,Northern,RSV,2010,5,1
249,2009-2010,2010-05-24,2010-05-29,Southern,Influenza_A,2010,5,0
250,2009-2010,2010-05-24,2010-05-29,Southern,Influenza_B,2010,5,0
251,2009-2010,2010-05-24,2010-05-29,Southern,RSV,2010,5,0
252,2009-2010,2010-05-31,2010-06-05,Bay Area,Influenza_A,2010,5,0
253,2009-2010,2010-05-31,2010-06-05,Bay Area,Influenza_B,2010,5,0
254,2009-2010,2010-05-31,2010-06-05,Bay Area,RSV,2010,5,0
255,2009-2010,2010-05-31,2010-06-05,Central,Influenza_A,2010,5,0
256,2009-2010,2010-05-31,2010-06-05,Central,Influenza_B,2010,5,0
257,2009-2010,2010-05-31,2010-06-05,Central,RSV,2010,5,0
258,2009-2010,2010-05-31,2010-06-05,Northern,Influenza_A,2010,5,0
259,2009-2010,2010-05-31,2010-06-05,Northern,Influenza_B,2010,5,0
260,2009-2010,2010-05-31,2010-06-05,Northern,RSV,2010,5,3
261,2009-2010,2010-05-31,2010-06-05,Southern,Influenza_A,2010,5,0
262,2009-2010,2010-05-31,2010-06-05,Southern,Influenza_B,2010,5,0
263,2009-2010,2010-05-31,2010-06-05,Southern,RSV,2010,5,0
264,2009-2010,2010-06-07,2010-06-12,Bay Area,Influenza_A,2010,6,0
265,2009-2010,2010-06-07,2010-06-12,Bay Area,Influenza_B,2010,6,0
266,2009-2010,2010-06-07,2010-06-12,Bay Area,RSV,2010,6,1
267,2009-2010,2010-06-07,2010-06-12,Central,Influenza_A,2010,6,0
268,2009-2010,2010-06-07,2010-06-12,Central,Influenza_B,2010,6,1
269,2009-2010,2010-06-07,2010-06-12,Central,RSV,2010,6,0
270,2009-2010,2010-06-07,2010-06-12,Northern,Influenza_A,2010,6,0
271,2009-2010,2010-06-07,2010-06-12,Northern,Influenza_B,2010,6,0
272,2009-2010,2010-06-07,2010-06-12,Northern,RSV,2010,6,2
273,2009-2010,2010-06-07,2010-06-12,Southern,Influenza_A,2010,6,1
274,2009-2010,2010-06-07,2010-06-12,Southern,Influenza_B,2010,6,5
275,2009-2010,2010-06-07,2010-06-12,Southern,RSV,2010,6,1
276,2009-2010,2010-06-14,2010-06-19,Bay Area,Influenza_A,2010,6,0
277,2009-2010,2010-06-14,2010-06-19,Bay Area,Influenza_B,2010,6,0
278,2009-2010,2010-06-14,2010-06-19,Bay Area,RSV,2010,6,1
279,2009-2010,2010-06-14,2010-06-19,Central,Influenza_A,2010,6,0
280,2009-2010,2010-06-14,2010-06-19,Central,Influenza_B,2010,6,0
281,2009-2010,2010-06-14,2010-06-19,Central,RSV,2010,6,1
282,2009-2010,2010-06-14,2010-06-19,Northern,Influenza_A,2010,6,0
283,2009-2010,2010-06-14,2010-06-19,Northern,Influenza_B,2010,6,0
284,2009-2010,2010-06-14,2010-06-19,Northern,RSV,2010,6,0
285,2009-2010,2010-06-14,2010-06-19,Southern,Influenza_A,2010,6,0
286,2009-2010,2010-06-14,2010-06-19,Southern,Influenza_B,2010,6,5
287,2009-2010,2010-06-14,2010-06-19,Southern,RSV,2010,6,2
288,2009-2010,2010-06-21,2010-06-26,Bay Area,Influenza_A,2010,6,0
289,2009-2010,2010-06-21,2010-06-26,Bay Area,Influenza_B,2010,6,0
290,2009-2010,2010-06-21,2010-06-26,Bay Area,RSV,2010,6,0
291,2009-2010,2010-06-21,2010-06-26,Central,Influenza_A,2010,6,0
292,2009-2010,2010-06-21,2010-06-26,Central,Influenza_B,2010,6,0
293,2009-2010,2010-06-21,2010-06-26,Central,RSV,2010,6,0
294,2009-2010,2010-06-21,2010-06-26,Northern,Influenza_A,2010,6,1
295,2009-2010,2010-06-21,2010-06-26,Northern,Influenza_B,2010,6,0
296,2009-2010,2010-06-21,2010-06-26,Northern,RSV,2010,6,1
297,2009-2010,2010-06-21,2010-06-26,Southern,Influenza_A,2010,6,0
298,2009-2010,2010-06-21,2010-06-26,Southern,Influenza_B,2010,6,5
299,2009-2010,2010-06-21,2010-06-26,Southern,RSV,2010,6,0
300,2009-2010,2010-06-28,2010-07-03,Bay Area,Influenza_A,2010,6,0
301,2009-2010,2010-06-28,2010-07-03,Bay Area,Influenza_B,2010,6,0
302,2009-2010,2010-06-28,2010-07-03,Bay Area,RSV,2010,6,1
303,2009-2010,2010-06-28,2010-07-03,Central,Influenza_A,2010,6,0
304,2009-2010,2010-06-28,2010-07-03,Central,Influenza_B,2010,6,0
305,2009-2010,2010-06-28,2010-07-03,Central,RSV,2010,6,1
306,2009-2010,2010-06-28,2010-07-03,Northern,Influenza_A,2010,6,0
307,2009-2010,2010-06-28,2010-07-03,Northern,Influenza_B,2010,6,0
308,2009-2010,2010-06-28,2010-07-03,Northern,RSV,2010,6,0
309,2009-2010,2010-06-28,2010-07-03,Southern,Influenza_A,2010,6,0
310,2009-2010,2010-06-28,2010-07-03,Southern,Influenza_B,2010,6,3
311,2009-2010,2010-06-28,2010-07-03,Southern,RSV,2010,6,0
312,2009-2010,2010-07-05,2010-07-10,Bay Area,Influenza_A,2010,7,1
313,2009-2010,2010-07-05,2010-07-10,Bay Area,Influenza_B,2010,7,0
314,2009-2010,2010-07-05,2010-07-10,Bay Area,RSV,2010,7,0
315,2009-2010,2010-07-05,2010-07-10,Central,Influenza_A,2010,7,0
316,2009-2010,2010-07-05,2010-07-10,Central,Influenza_B,2010,7,0
317,2009-2010,2010-07-05,2010-07-10,Central,RSV,2010,7,0
318,2009-2010,2010-07-05,2010-07-10,Northern,Influenza_A,2010,7,0
319,2009-2010,2010-07-05,2010-07-10,Northern,Influenza_B,2010,7,0
320,2009-2010,2010-07-05,2010-07-10,Northern,RSV,2010,7,1
321,2009-2010,2010-07-05,2010-07-10,Southern,Influenza_A,2010,7,0
322,2009-2010,2010-07-05,2010-07-10,Southern,Influenza_B,2010,7,2
323,2009-2010,2010-07-05,2010-07-10,Southern,RSV,2010,7,0
324,2009-2010,2010-07-12,2010-07-17,Bay Area,Influenza_A,2010,7,0
325,2009-2010,2010-07-12,2010-07-17,Bay Area,Influenza_B,2010,7,0
326,2009-2010,2010-07-12,2010-07-17,Bay Area,RSV,2010,7,0
327,2009-2010,2010-07-12,2010-07-17,Central,Influenza_A,2010,7,0
328,2009-2010,2010-07-12,2010-07-17,Central,Influenza_B,2010,7,0
329,2009-2010,2010-07-12,2010-07-17,Central,RSV,2010,7,0
330,2009-2010,2010-07-12,2010-07-17,Northern,Influenza_A,2010,7,0
331,2009-2010,2010-07-12,2010-07-17,Northern,Influenza_B,2010,7,0
332,2009-2010,2010-07-12,2010-07-17,Northern,RSV,2010,7,1
333,2009-2010,2010-07-12,2010-07-17,Southern,Influenza_A,2010,7,0
334,2009-2010,2010-07-12,2010-07-17,Southern,Influenza_B,2010,7,1
335,2009-2010,2010-07-12,2010-07-17,Southern,RSV,2010,7,0
336,2009-2010,2010-07-19,2010-07-24,Bay Area,Influenza_A,2010,7,1
337,2009-2010,2010-07-19,2010-07-24,Bay Area,Influenza_B,2010,7,0
338,2009-2010,2010-07-19,2010-07-24,Bay Area,RSV,2010,7,0
339,2009-2010,2010-07-19,2010-07-24,Central,Influenza_A,2010,7,0
340,2009-2010,2010-07-19,2010-07-24,Central,Influenza_B,2010,7,0
341,2009-2010,2010-07-19,2010-07-24,Central,RSV,2010,7,1
342,2009-2010,2010-07-19,2010-07-24,Northern,Influenza_A,2010,7,0
343,2009-2010,2010-07-19,2010-07-24,Northern,Influenza_B,2010,7,0
344,2009-2010,2010-07-19,2010-07-24,Northern,RSV,2010,7,0
345,2009-2010,2010-07-19,2010-07-24,Southern,Influenza_A,2010,7,1
346,2009-2010,2010-07-19,2010-07-24,Southern,Influenza_B,2010,7,0
347,2009-2010,2010-07-19,2010-07-24,Southern,RSV,2010,7,1
348,2009-2010,2010-07-26,2010-07-31,Bay Area,Influenza_A,2010,7,0
349,2009-2010,2010-07-26,2010-07-31,Bay Area,Influenza_B,2010,7,0
350,2009-2010,2010-07-26,2010-07-31,Bay Area,RSV,2010,7,1
351,2009-2010,2010-07-26,2010-07-31,Central,Influenza_A,2010,7,0
352,2009-2010,2010-07-26,2010-07-31,Central,Influenza_B,2010,7,0
353,2009-2010,2010-07-26,2010-07-31,Central,RSV,2010,7,0
