season,date_code,weekending,region,Respiratory_Virus,Number_Positive,Specimens_Tested,Percent_Positive
2009-2010,200944,11/07/09,Bay Area,Influenza_A,70,328,21.34
2009-2010,200944,11/07/09,Bay Area,Influenza_B,0,328,0.00
2009-2010,200944,11/07/09,Bay Area,Total_Influenza,70,328,21.34
2009-2010,200944,11/07/09,Bay Area,RSV,0,286,0.00
2009-2010,200944,11/07/09,California,Influenza_A,811,2771,29.27
2009-2010,200944,11/07/09,California,Influenza_B,3,2771,0.11
2009-2010,200944,11/07/09,California,Total_Influenza,814,2771,29.38
2009-2010,200944,11/07/09,California,RSV,5,1739,0.29
2009-2010,200944,11/07/09,Central,Influenza_A,96,421,22.80
2009-2010,200944,11/07/09,Central,Influenza_B,0,421,0.00
2009-2010,200944,11/07/09,Central,Total_Influenza,96,421,22.80
2009-2010,200944,11/07/09,Central,RSV,0,176,0.00
2009-2010,200944,11/07/09,Lower Southern,Influenza_A,66,262,25.19
2009-2010,200944,11/07/09,Lower Southern,Influenza_B,0,262,0.00
2009-2010,200944,11/07/09,Lower Southern,Total_Influenza,66,262,25.19
2009-2010,200944,11/07/09,Lower Southern,RSV,0,62,0.00
2009-2010,200944,11/07/09,Northern,Influenza_A,0,0,
2009-2010,200944,11/07/09,Northern,Influenza_B,0,0,
2009-2010,200944,11/07/09,Northern,Total_Influenza,0,0,
2009-2010,200944,11/07/09,Northern,RSV,0,0,
2009-2010,200944,11/07/09,Northern/Bay Area,Influenza_A,314,1010,31.09
2009-2010,200944,11/07/09,Northern/Bay Area,Influenza_B,3,1010,0.30
2009-2010,200944,11/07/09,Northern/Bay Area,Total_Influenza,317,1010,31.39
2009-2010,200944,11/07/09,Northern/Bay Area,RSV,4,1010,0.40
2009-2010,200944,11/07/09,Upper Southern,Influenza_A,32,209,15.31
2009-2010,200944,11/07/09,Upper Southern,Influenza_B,0,209,0.00
2009-2010,200944,11/07/09,Upper Southern,Total_Influenza,32,209,15.31
2009-2010,200944,11/07/09,Upper Southern,RSV,1,192,0.52
2009-2010,200944,11/07/09,Upper/Lower Southern,Influenza_A,233,541,43.07
2009-2010,200944,11/07/09,Upper/Lower Southern,Influenza_B,0,541,0.00
2009-2010,200944,11/07/09,Upper/Lower Southern,Total_Influenza,233,541,43.07
2009-2010,200944,11/07/09,Upper/Lower Southern,RSV,0,13,0.00
2009-2010,200945,11/14/09,Bay Area,Influenza_A,43,509,8.45
2009-2010,200945,11/14/09,Bay Area,Influenza_B,0,509,0.00
2009-2010,200945,11/14/09,Bay Area,Total_Influenza,43,509,8.45
2009-2010,200945,11/14/09,Bay Area,RSV,4,436,0.92
2009-2010,200945,11/14/09,California,Influenza_A,501,2546,19.68
2009-2010,200945,11/14/09,California,Influenza_B,3,2546,0.12
2009-2010,200945,11/14/09,California,Total_Influenza,504,2546,19.80
2009-2010,200945,11/14/09,California,RSV,8,1581,0.51
2009-2010,200945,11/14/09,Central,Influenza_A,75,464,16.16
2009-2010,200945,11/14/09,Central,Influenza_B,2,464,0.43
2009-2010,200945,11/14/09,Central,Total_Influenza,77,464,16.59
2009-2010,200945,11/14/09,Central,RSV,1,192,0.52
2009-2010,200945,11/14/09,Lower Southern,Influenza_A,52,255,20.39
2009-2010,200945,11/14/09,Lower Southern,Influenza_B,0,255,0.00
2009-2010,200945,11/14/09,Lower Southern,Total_Influenza,52,255,20.39
2009-2010,200945,11/14/09,Lower Southern,RSV,0,74,0.00
2009-2010,200945,11/14/09,Northern,Influenza_A,0,0,
2009-2010,200945,11/14/09,Northern,Influenza_B,0,0,
2009-2010,200945,11/14/09,Northern,Total_Influenza,0,0,
2009-2010,200945,11/14/09,Northern,RSV,0,0,
2009-2010,200945,11/14/09,Northern/Bay Area,Influenza_A,147,746,19.71
2009-2010,200945,11/14/09,Northern/Bay Area,Influenza_B,0,746,0.00
2009-2010,200945,11/14/09,Northern/Bay Area,Total_Influenza,147,746,19.71
2009-2010,200945,11/14/09,Northern/Bay Area,RSV,2,746,0.27
2009-2010,200945,11/14/09,Upper Southern,Influenza_A,39,186,20.97
2009-2010,200945,11/14/09,Upper Southern,Influenza_B,0,186,0.00
2009-2010,200945,11/14/09,Upper Southern,Total_Influenza,39,186,20.97
2009-2010,200945,11/14/09,Upper Southern,RSV,0,118,0.00
2009-2010,200945,11/14/09,Upper/Lower Southern,Influenza_A,145,386,37.56
2009-2010,200945,11/14/09,Upper/Lower Southern,Influenza_B,1,386,0.26
2009-2010,200945,11/14/09,Upper/Lower Southern,Total_Influenza,146,386,37.82
2009-2010,200945,11/14/09,Upper/Lower Southern,RSV,1,15,6.67
2009-2010,200946,11/21/09,Bay Area,Influenza_A,33,396,8.33
2009-2010,200946,11/21/09,Bay Area,Influenza_B,0,396,0.00
2009-2010,200946,11/21/09,Bay Area,Total_Influenza,33,396,8.33
2009-2010,200946,11/21/09,Bay Area,RSV,1,348,0.29
2009-2010,200946,11/21/09,California,Influenza_A,316,2176,14.52
2009-2010,200946,11/21/09,California,Influenza_B,0,2176,0.00
2009-2010,200946,11/21/09,California,Total_Influenza,316,2176,14.52
2009-2010,200946,11/21/09,California,RSV,7,1470,0.48
2009-2010,200946,11/21/09,Central,Influenza_A,51,381,13.39
2009-2010,200946,11/21/09,Central,Influenza_B,0,381,0.00
2009-2010,200946,11/21/09,Central,Total_Influenza,51,381,13.39
2009-2010,200946,11/21/09,Central,RSV,1,153,0.65
2009-2010,200946,11/21/09,Lower Southern,Influenza_A,18,157,11.46
2009-2010,200946,11/21/09,Lower Southern,Influenza_B,0,157,0.00
2009-2010,200946,11/21/09,Lower Southern,Total_Influenza,18,157,11.46
2009-2010,200946,11/21/09,Lower Southern,RSV,0,51,0.00
2009-2010,200946,11/21/09,Northern,Influenza_A,0,0,
2009-2010,200946,11/21/09,Northern,Influenza_B,0,0,
2009-2010,200946,11/21/09,Northern,Total_Influenza,0,0,
2009-2010,200946,11/21/09,Northern,RSV,0,0,
2009-2010,200946,11/21/09,Northern/Bay Area,Influenza_A,116,742,15.63
2009-2010,200946,11/21/09,Northern/Bay Area,Influenza_B,0,742,0.00
2009-2010,200946,11/21/09,Northern/Bay Area,Total_Influenza,116,742,15.63
2009-2010,200946,11/21/09,Northern/Bay Area,RSV,4,742,0.54
2009-2010,200946,11/21/09,Upper Southern,Influenza_A,29,189,15.34
2009-2010,200946,11/21/09,Upper Southern,Influenza_B,0,189,0.00
2009-2010,200946,11/21/09,Upper Southern,Total_Influenza,29,189,15.34
2009-2010,200946,11/21/09,Upper Southern,RSV,0,159,0.00
2009-2010,200946,11/21/09,Upper/Lower Southern,Influenza_A,69,311,22.19
2009-2010,200946,11/21/09,Upper/Lower Southern,Influenza_B,0,311,0.00
2009-2010,200946,11/21/09,Upper/Lower Southern,Total_Influenza,69,311,22.19
2009-2010,200946,11/21/09,Upper/Lower Southern,RSV,1,17,5.88
2009-2010,200947,11/28/09,Bay Area,Influenza_A,24,347,6.92
2009-2010,200947,11/28/09,Bay Area,Influenza_B,0,347,0.00
2009-2010,200947,11/28/09,Bay Area,Total_Influenza,24,347,6.92
2009-2010,200947,11/28/09,Bay Area,RSV,0,311,0.00
2009-2010,200947,11/28/09,California,Influenza_A,235,1913,12.28
2009-2010,200947,11/28/09,California,Influenza_B,2,1913,0.10
2009-2010,200947,11/28/09,California,Total_Influenza,237,1913,12.39
2009-2010,200947,11/28/09,California,RSV,13,1348,0.96
2009-2010,200947,11/28/09,Central,Influenza_A,26,337,7.72
2009-2010,200947,11/28/09,Central,Influenza_B,2,337,0.59
2009-2010,200947,11/28/09,Central,Total_Influenza,28,337,8.31
2009-2010,200947,11/28/09,Central,RSV,3,174,1.72
2009-2010,200947,11/28/09,Lower Southern,Influenza_A,15,158,9.49
2009-2010,200947,11/28/09,Lower Southern,Influenza_B,0,158,0.00
2009-2010,200947,11/28/09,Lower Southern,Total_Influenza,15,158,9.49
2009-2010,200947,11/28/09,Lower Southern,RSV,2,51,3.92
2009-2010,200947,11/28/09,Northern,Influenza_A,0,0,
2009-2010,200947,11/28/09,Northern,Influenza_B,0,0,
2009-2010,200947,11/28/09,Northern,Total_Influenza,0,0,
2009-2010,200947,11/28/09,Northern,RSV,0,0,
2009-2010,200947,11/28/09,Northern/Bay Area,Influenza_A,88,679,12.96
2009-2010,200947,11/28/09,Northern/Bay Area,Influenza_B,0,679,0.00
2009-2010,200947,11/28/09,Northern/Bay Area,Total_Influenza,88,679,12.96
2009-2010,200947,11/28/09,Northern/Bay Area,RSV,4,679,0.59
2009-2010,200947,11/28/09,Upper Southern,Influenza_A,10,137,7.30
2009-2010,200947,11/28/09,Upper Southern,Influenza_B,0,137,0.00
2009-2010,200947,11/28/09,Upper Southern,Total_Influenza,10,137,7.30
2009-2010,200947,11/28/09,Upper Southern,RSV,2,120,1.67
2009-2010,200947,11/28/09,Upper/Lower Southern,Influenza_A,72,255,28.24
2009-2010,200947,11/28/09,Upper/Lower Southern,Influenza_B,0,255,0.00
2009-2010,200947,11/28/09,Upper/Lower Southern,Total_Influenza,72,255,28.24
2009-2010,200947,11/28/09,Upper/Lower Southern,RSV,2,13,15.38
2009-2010,200948,12/05/09,Bay Area,Influenza_A,15,386,3.89
2009-2010,200948,12/05/09,Bay Area,Influenza_B,0,386,0.00
2009-2010,200948,12/05/09,Bay Area,Total_Influenza,15,386,3.89
2009-2010,200948,12/05/09,Bay Area,RSV,5,383,1.31
2009-2010,200948,12/05/09,California,Influenza_A,188,1881,9.99
2009-2010,200948,12/05/09,California,Influenza_B,1,1881,0.05
2009-2010,200948,12/05/09,California,Total_Influenza,189,1881,10.05
2009-2010,200948,12/05/09,California,RSV,34,1408,2.41
2009-2010,200948,12/05/09,Central,Influenza_A,31,318,9.75
2009-2010,200948,12/05/09,Central,Influenza_B,1,318,0.31
2009-2010,200948,12/05/09,Central,Total_Influenza,32,318,10.06
2009-2010,200948,12/05/09,Central,RSV,4,156,2.56
2009-2010,200948,12/05/09,Lower Southern,Influenza_A,10,131,7.63
2009-2010,200948,12/05/09,Lower Southern,Influenza_B,0,131,0.00
2009-2010,200948,12/05/09,Lower Southern,Total_Influenza,10,131,7.63
2009-2010,200948,12/05/09,Lower Southern,RSV,3,49,6.12
2009-2010,200948,12/05/09,Northern,Influenza_A,0,0,
2009-2010,200948,12/05/09,Northern,Influenza_B,0,0,
2009-2010,200948,12/05/09,Northern,Total_Influenza,0,0,
2009-2010,200948,12/05/09,Northern,RSV,0,0,
2009-2010,200948,12/05/09,Northern/Bay Area,Influenza_A,80,683,11.71
2009-2010,200948,12/05/09,Northern/Bay Area,Influenza_B,0,683,0.00
2009-2010,200948,12/05/09,Northern/Bay Area,Total_Influenza,80,683,11.71
2009-2010,200948,12/05/09,Northern/Bay Area,RSV,18,683,2.64
2009-2010,200948,12/05/09,Upper Southern,Influenza_A,14,150,9.33
2009-2010,200948,12/05/09,Upper Southern,Influenza_B,0,150,0.00
2009-2010,200948,12/05/09,Upper Southern,Total_Influenza,14,150,9.33
2009-2010,200948,12/05/09,Upper Southern,RSV,1,118,0.85
2009-2010,200948,12/05/09,Upper/Lower Southern,Influenza_A,38,213,17.84
2009-2010,200948,12/05/09,Upper/Lower Southern,Influenza_B,0,213,0.00
2009-2010,200948,12/05/09,Upper/Lower Southern,Total_Influenza,38,213,17.84
2009-2010,200948,12/05/09,Upper/Lower Southern,RSV,3,19,15.79
2009-2010,200949,12/12/09,Bay Area,Influenza_A,10,350,2.86
2009-2010,200949,12/12/09,Bay Area,Influenza_B,2,350,0.57
2009-2010,200949,12/12/09,Bay Area,Total_Influenza,12,350,3.43
2009-2010,200949,12/12/09,Bay Area,RSV,5,305,1.64
2009-2010,200949,12/12/09,California,Influenza_A,132,1605,8.22
2009-2010,200949,12/12/09,California,Influenza_B,2,1605,0.12
2009-2010,200949,12/12/09,California,Total_Influenza,134,1605,8.35
2009-2010,200949,12/12/09,California,RSV,36,1259,2.86
2009-2010,200949,12/12/09,Central,Influenza_A,25,307,8.14
2009-2010,200949,12/12/09,Central,Influenza_B,0,307,0.00
2009-2010,200949,12/12/09,Central,Total_Influenza,25,307,8.14
2009-2010,200949,12/12/09,Central,RSV,6,197,3.05
2009-2010,200949,12/12/09,Lower Southern,Influenza_A,3,100,3.00
2009-2010,200949,12/12/09,Lower Southern,Influenza_B,0,100,0.00
2009-2010,200949,12/12/09,Lower Southern,Total_Influenza,3,100,3.00
2009-2010,200949,12/12/09,Lower Southern,RSV,3,44,6.82
2009-2010,200949,12/12/09,Northern,Influenza_A,0,0,
2009-2010,200949,12/12/09,Northern,Influenza_B,0,0,
2009-2010,200949,12/12/09,Northern,Total_Influenza,0,0,
2009-2010,200949,12/12/09,Northern,RSV,0,0,
2009-2010,200949,12/12/09,Northern/Bay Area,Influenza_A,60,602,9.97
2009-2010,200949,12/12/09,Northern/Bay Area,Influenza_B,0,602,0.00
2009-2010,200949,12/12/09,Northern/Bay Area,Total_Influenza,60,602,9.97
2009-2010,200949,12/12/09,Northern/Bay Area,RSV,18,602,2.99
2009-2010,200949,12/12/09,Upper Southern,Influenza_A,19,114,16.67
2009-2010,200949,12/12/09,Upper Southern,Influenza_B,0,114,0.00
2009-2010,200949,12/12/09,Upper Southern,Total_Influenza,19,114,16.67
2009-2010,200949,12/12/09,Upper Southern,RSV,1,96,1.04
2009-2010,200949,12/12/09,Upper/Lower Southern,Influenza_A,15,132,11.36
2009-2010,200949,12/12/09,Upper/Lower Southern,Influenza_B,0,132,0.00
2009-2010,200949,12/12/09,Upper/Lower Southern,Total_Influenza,15,132,11.36
2009-2010,200949,12/12/09,Upper/Lower Southern,RSV,3,15,20.00
2009-2010,200950,12/19/09,Bay Area,Influenza_A,20,365,5.48
2009-2010,200950,12/19/09,Bay Area,Influenza_B,0,365,0.00
2009-2010,200950,12/19/09,Bay Area,Total_Influenza,20,365,5.48
2009-2010,200950,12/19/09,Bay Area,RSV,9,311,2.89
2009-2010,200950,12/19/09,California,Influenza_A,138,1642,8.40
2009-2010,200950,12/19/09,California,Influenza_B,0,1642,0.00
2009-2010,200950,12/19/09,California,Total_Influenza,138,1642,8.40
2009-2010,200950,12/19/09,California,RSV,55,1231,4.47
2009-2010,200950,12/19/09,Central,Influenza_A,23,266,8.65
2009-2010,200950,12/19/09,Central,Influenza_B,0,266,0.00
2009-2010,200950,12/19/09,Central,Total_Influenza,23,266,8.65
2009-2010,200950,12/19/09,Central,RSV,11,156,7.05
2009-2010,200950,12/19/09,Lower Southern,Influenza_A,2,109,1.83
2009-2010,200950,12/19/09,Lower Southern,Influenza_B,0,109,0.00
2009-2010,200950,12/19/09,Lower Southern,Total_Influenza,2,109,1.83
2009-2010,200950,12/19/09,Lower Southern,RSV,1,42,2.38
2009-2010,200950,12/19/09,Northern,Influenza_A,0,0,
2009-2010,200950,12/19/09,Northern,Influenza_B,0,0,
2009-2010,200950,12/19/09,Northern,Total_Influenza,0,0,
2009-2010,200950,12/19/09,Northern,RSV,0,0,
2009-2010,200950,12/19/09,Northern/Bay Area,Influenza_A,68,613,11.09
2009-2010,200950,12/19/09,Northern/Bay Area,Influenza_B,0,613,0.00
2009-2010,200950,12/19/09,Northern/Bay Area,Total_Influenza,68,613,11.09
2009-2010,200950,12/19/09,Northern/Bay Area,RSV,30,613,4.89
2009-2010,200950,12/19/09,Upper Southern,Influenza_A,6,130,4.62
2009-2010,200950,12/19/09,Upper Southern,Influenza_B,0,130,0.00
2009-2010,200950,12/19/09,Upper Southern,Total_Influenza,6,130,4.62
2009-2010,200950,12/19/09,Upper Southern,RSV,1,100,1.00
2009-2010,200950,12/19/09,Upper/Lower Southern,Influenza_A,19,159,11.95
2009-2010,200950,12/19/09,Upper/Lower Southern,Influenza_B,0,159,0.00
2009-2010,200950,12/19/09,Upper/Lower Southern,Total_Influenza,19,159,11.95
2009-2010,200950,12/19/09,Upper/Lower Southern,RSV,3,9,33.33
2009-2010,200951,12/26/09,Bay Area,Influenza_A,7,244,2.87
2009-2010,200951,12/26/09,Bay Area,Influenza_B,0,244,0.00
2009-2010,200951,12/26/09,Bay Area,Total_Influenza,7,244,2.87
2009-2010,200951,12/26/09,Bay Area,RSV,13,221,5.88
2009-2010,200951,12/26/09,California,Influenza_A,63,1217,5.18
2009-2010,200951,12/26/09,California,Influenza_B,0,1217,0.00
2009-2010,200951,12/26/09,California,Total_Influenza,63,1217,5.18
2009-2010,200951,12/26/09,California,RSV,67,989,6.77
2009-2010,200951,12/26/09,Central,Influenza_A,21,205,10.24
2009-2010,200951,12/26/09,Central,Influenza_B,0,205,0.00
2009-2010,200951,12/26/09,Central,Total_Influenza,21,205,10.24
2009-2010,200951,12/26/09,Central,RSV,9,144,6.25
2009-2010,200951,12/26/09,Lower Southern,Influenza_A,3,85,3.53
2009-2010,200951,12/26/09,Lower Southern,Influenza_B,0,85,0.00
2009-2010,200951,12/26/09,Lower Southern,Total_Influenza,3,85,3.53
2009-2010,200951,12/26/09,Lower Southern,RSV,3,44,6.82
2009-2010,200951,12/26/09,Northern,Influenza_A,0,0,
2009-2010,200951,12/26/09,Northern,Influenza_B,0,0,
2009-2010,200951,12/26/09,Northern,Total_Influenza,0,0,
2009-2010,200951,12/26/09,Northern,RSV,0,0,
2009-2010,200951,12/26/09,Northern/Bay Area,Influenza_A,28,562,4.98
2009-2010,200951,12/26/09,Northern/Bay Area,Influenza_B,0,562,0.00
2009-2010,200951,12/26/09,Northern/Bay Area,Total_Influenza,28,562,4.98
2009-2010,200951,12/26/09,Northern/Bay Area,RSV,36,562,6.41
2009-2010,200951,12/26/09,Upper Southern,Influenza_A,0,0,
2009-2010,200951,12/26/09,Upper Southern,Influenza_B,0,0,
2009-2010,200951,12/26/09,Upper Southern,Total_Influenza,0,0,
2009-2010,200951,12/26/09,Upper Southern,RSV,0,0,
2009-2010,200951,12/26/09,Upper/Lower Southern,Influenza_A,4,121,3.31
2009-2010,200951,12/26/09,Upper/Lower Southern,Influenza_B,0,121,0.00
2009-2010,200951,12/26/09,Upper/Lower Southern,Total_Influenza,4,121,3.31
2009-2010,200951,12/26/09,Upper/Lower Southern,RSV,6,18,33.33
2009-2010,200952,01/02/10,Bay Area,Influenza_A,10,352,2.84
2009-2010,200952,01/02/10,Bay Area,Influenza_B,1,352,0.28
2009-2010,200952,01/02/10,Bay Area,Total_Influenza,11,352,3.13
2009-2010,200952,01/02/10,Bay Area,RSV,13,329,3.95
2009-2010,200952,01/02/10,California,Influenza_A,70,1592,4.40
2009-2010,200952,01/02/10,California,Influenza_B,2,1592,0.13
2009-2010,200952,01/02/10,California,Total_Influenza,72,1592,4.52
2009-2010,200952,01/02/10,California,RSV,103,1347,7.65
