,date_code,region,Respiratory_Virus,Number_Positive
388,2012-09,Central,Influenza_B,0
389,2012-09,Central,RSV,4
390,2012-09,Northern,Influenza_A,0
391,2012-09,Northern,Influenza_B,0
392,2012-09,Northern,RSV,0
393,2012-09,Southern,Influenza_A,1
394,2012-09,Southern,Influenza_B,0
395,2012-09,Southern,RSV,3
396,2012-10,Bay Area,Influenza_A,15
397,2012-10,Bay Area,Influenza_B,2
398,2012-10,Bay Area,RSV,23
399,2012-10,Central,Influenza_A,1
400,2012-10,Central,Influenza_B,0
401,2012-10,Central,RSV,18
402,2012-10,Northern,Influenza_A,0
403,2012-10,Northern,Influenza_B,0
404,2012-10,Northern,RSV,2
405,2012-10,Southern,Influenza_A,2
406,2012-10,Southern,Influenza_B,7
407,2012-10,Southern,RSV,17
408,2012-11,Bay Area,Influenza_A,18
409,2012-11,Bay Area,Influenza_B,1
410,2012-11,Bay Area,RSV,127
411,2012-11,Central,Influenza_A,3
412,2012-11,Central,Influenza_B,2
413,2012-11,Central,RSV,89
414,2012-11,Northern,Influenza_A,3
415,2012-11,Northern,Influenza_B,2
416,2012-11,Northern,RSV,17
417,2012-11,Southern,Influenza_A,11
418,2012-11,Southern,Influenza_B,8
419,2012-11,Southern,RSV,45
420,2012-12,Bay Area,Influenza_A,292
421,2012-12,Bay Area,Influenza_B,34
422,2012-12,Bay Area,RSV,877
423,2012-12,Central,Influenza_A,53
424,2012-12,Central,Influenza_B,13
425,2012-12,Central,RSV,711
426,2012-12,Northern,Influenza_A,30
427,2012-12,Northern,Influenza_B,9
428,2012-12,Northern,RSV,162
429,2012-12,Southern,Influenza_A,102
430,2012-12,Southern,Influenza_B,33
431,2012-12,Southern,RSV,516
432,2013-01,Bay Area,Influenza_A,1422
433,2013-01,Bay Area,Influenza_B,193
434,2013-01,Bay Area,RSV,1041
435,2013-01,Central,Influenza_A,487
436,2013-01,Central,Influenza_B,123
437,2013-01,Central,RSV,705
438,2013-01,Northern,Influenza_A,293
439,2013-01,Northern,Influenza_B,46
440,2013-01,Northern,RSV,343
441,2013-01,Southern,Influenza_A,947
442,2013-01,Southern,Influenza_B,291
443,2013-01,Southern,RSV,600
444,2013-02,Bay Area,Influenza_A,759
445,2013-02,Bay Area,Influenza_B,199
446,2013-02,Bay Area,RSV,646
447,2013-02,Central,Influenza_A,393
448,2013-02,Central,Influenza_B,281
449,2013-02,Central,RSV,285
450,2013-02,Northern,Influenza_A,205
451,2013-02,Northern,Influenza_B,67
452,2013-02,Northern,RSV,264
453,2013-02,Southern,Influenza_A,640
454,2013-02,Southern,Influenza_B,360
455,2013-02,Southern,RSV,492
456,2013-03,Bay Area,Influenza_A,196
457,2013-03,Bay Area,Influenza_B,158
458,2013-03,Bay Area,RSV,250
459,2013-03,Central,Influenza_A,66
460,2013-03,Central,Influenza_B,179
461,2013-03,Central,RSV,83
462,2013-03,Northern,Influenza_A,46
463,2013-03,Northern,Influenza_B,70
464,2013-03,Northern,RSV,84
465,2013-03,Southern,Influenza_A,104
466,2013-03,Southern,Influenza_B,199
467,2013-03,Southern,RSV,175
468,2013-04,Bay Area,Influenza_A,12
469,2013-04,Bay Area,Influenza_B,51
470,2013-04,Bay Area,RSV,68
471,2013-04,Central,Influenza_A,7
472,2013-04,Central,Influenza_B,17
473,2013-04,Central,RSV,32
474,2013-04,Northern,Influenza_A,0
475,2013-04,Northern,Influenza_B,13
476,2013-04,Northern,RSV,12
477,2013-04,Southern,Influenza_A,8
478,2013-04,Southern,Influenza_B,24
479,2013-04,Southern,RSV,33
480,2013-05,Bay Area,Influenza_A,3
481,2013-05,Bay Area,Influenza_B,3
482,2013-05,Bay Area,RSV,1
483,2013-05,Central,Influenza_A,0
484,2013-05,Central,Influenza_B,1
485,2013-05,Central,RSV,1
486,2013-05,Northern,Influenza_A,0
487,2013-05,Northern,Influenza_B,0
488,2013-05,Northern,RSV,0
489,2013-05,Southern,Influenza_A,1
490,2013-05,Southern,Influenza_B,1
491,2013-05,Southern,RSV,2
492,2013-06,Bay Area,Influenza_A,0
493,2013-06,Bay Area,Influenza_B,0
494,2013-06,Bay Area,RSV,2
495,2013-06,Central,Influenza_A,0
496,2013-06,Central,Influenza_B,0
497,2013-06,Central,RSV,0
498,2013-06,Northern,Influenza_A,0
499,2013-06,Northern,Influenza_B,0
500,2013-06,Northern,RSV,0
501,2013-06,Southern,Influenza_A,0
502,2013-06,Southern,Influenza_B,0
503,2013-06,Southern,RSV,0
504,2013-07,Bay Area,Influenza_A,2
505,2013-07,Bay Area,Influenza_B,2
506,2013-07,Bay Area,RSV,3
507,2013-07,Central,Influenza_A,0
508,2013-07,Central,Influenza_B,0
509,2013-07,Central,RSV,1
510,2013-07,Northern,Influenza_A,0
511,2013-07,Northern,Influenza_B,0
512,2013-07,Northern,RSV,0
513,2013-07,Southern,Influenza_A,0
514,2013-07,Southern,Influenza_B,0
515,2013-07,Southern,RSV,0
516,2013-08,Bay Area,Influenza_A,0
517,2013-08,Bay Area,Influenza_B,0
518,2013-08,Bay Area,RSV,0
519,2013-08,Central,Influenza_A,0
520,2013-08,Central,Influenza_B,0
521,2013-08,Central,RSV,1
522,2013-08,Northern,Influenza_A,0
523,2013-08,Northern,Influenza_B,0
524,2013-08,Northern,RSV,0
525,2013-08,Southern,Influenza_A,0
526,2013-08,Southern,Influenza_B,0
527,2013-08,Southern,RSV,0
528,2013-09,Bay Area,Adenovirus,2
529,2013-09,Bay Area,Enterovirus_Rhinovirus,41
530,2013-09,Bay Area,HMPV,1
531,2013-09,Bay Area,Influenza_A,0
532,2013-09,Bay Area,Influenza_B,0
533,2013-09,Bay Area,Parainfluenza_1,6
534,2013-09,Bay Area,Parainfluenza_2,1
535,2013-09,Bay Area,Parainfluenza_3,2
536,2013-09,Bay Area,Parainfluenza_4,0
537,2013-09,Bay Area,Parainfluenza_UnknownType,0
538,2013-09,Bay Area,RSV,5
539,2013-09,Central,Adenovirus,0
540,2013-09,Central,Enterovirus_Rhinovirus,28
541,2013-09,Central,HMPV,1
542,2013-09,Central,Influenza_A,0
543,2013-09,Central,Influenza_B,0
544,2013-09,Central,Parainfluenza_1,6
545,2013-09,Central,Parainfluenza_2,0
546,2013-09,Central,Parainfluenza_3,1
547,2013-09,Central,Parainfluenza_4,4
548,2013-09,Central,Parainfluenza_UnknownType,0
549,2013-09,Central,RSV,0
550,2013-09,Northern,Adenovirus,0
551,2013-09,Northern,Enterovirus_Rhinovirus,0
552,2013-09,Northern,HMPV,0
553,2013-09,Northern,Influenza_A,0
554,2013-09,Northern,Influenza_B,0
555,2013-09,Northern,Parainfluenza_1,7
556,2013-09,Northern,Parainfluenza_2,0
557,2013-09,Northern,Parainfluenza_3,0
558,2013-09,Northern,Parainfluenza_4,0
559,2013-09,Northern,Parainfluenza_UnknownType,0
560,2013-09,Northern,RSV,0
561,2013-09,Southern,Adenovirus,1
562,2013-09,Southern,Enterovirus_Rhinovirus,19
563,2013-09,Southern,HMPV,1
564,2013-09,Southern,Influenza_A,0
565,2013-09,Southern,Influenza_B,0
566,2013-09,Southern,Parainfluenza_1,5
567,2013-09,Southern,Parainfluenza_2,0
568,2013-09,Southern,Parainfluenza_3,1
569,2013-09,Southern,Parainfluenza_4,2
570,2013-09,Southern,Parainfluenza_UnknownType,0
571,2013-09,Southern,RSV,2
572,2013-10,Bay Area,Adenovirus,8
573,2013-10,Bay Area,Enterovirus_Rhinovirus,142
574,2013-10,Bay Area,HMPV,3
575,2013-10,Bay Area,Influenza_A,9
576,2013-10,Bay Area,Influenza_B,2
577,2013-10,Bay Area,Parainfluenza_1,27
578,2013-10,Bay Area,Parainfluenza_2,0
579,2013-10,Bay Area,Parainfluenza_3,2
580,2013-10,Bay Area,Parainfluenza_4,1
581,2013-10,Bay Area,Parainfluenza_UnknownType,0
582,2013-10,Bay Area,RSV,14
583,2013-10,Central,Adenovirus,2
584,2013-10,Central,Enterovirus_Rhinovirus,111
585,2013-10,Central,HMPV,1
586,2013-10,Central,Influenza_A,4
587,2013-10,Central,Influenza_B,1
588,2013-10,Central,Parainfluenza_1,31
589,2013-10,Central,Parainfluenza_2,0
590,2013-10,Central,Parainfluenza_3,2
591,2013-10,Central,Parainfluenza_4,6
592,2013-10,Central,Parainfluenza_UnknownType,0
593,2013-10,Central,RSV,2
594,2013-10,Northern,Adenovirus,0
595,2013-10,Northern,Enterovirus_Rhinovirus,0
596,2013-10,Northern,HMPV,0
597,2013-10,Northern,Influenza_A,0
598,2013-10,Northern,Influenza_B,1
599,2013-10,Northern,Parainfluenza_1,0
600,2013-10,Northern,Parainfluenza_2,0
601,2013-10,Northern,Parainfluenza_3,0
602,2013-10,Northern,Parainfluenza_4,0
603,2013-10,Northern,Parainfluenza_UnknownType,0
604,2013-10,Northern,RSV,0
605,2013-10,Southern,Adenovirus,16
606,2013-10,Southern,Enterovirus_Rhinovirus,152
607,2013-10,Southern,HMPV,7
608,2013-10,Southern,Influenza_A,6
609,2013-10,Southern,Influenza_B,0
610,2013-10,Southern,Parainfluenza_1,26
611,2013-10,Southern,Parainfluenza_2,0
612,2013-10,Southern,Parainfluenza_3,3
613,2013-10,Southern,Parainfluenza_4,5
614,2013-10,Southern,Parainfluenza_UnknownType,0
615,2013-10,Southern,RSV,9
616,2013-11,Bay Area,Adenovirus,12
617,2013-11,Bay Area,Enterovirus_Rhinovirus,165
618,2013-11,Bay Area,HMPV,9
619,2013-11,Bay Area,Influenza_A,38
620,2013-11,Bay Area,Influenza_B,2
621,2013-11,Bay Area,Parainfluenza_1,32
622,2013-11,Bay Area,Parainfluenza_2,1
623,2013-11,Bay Area,Parainfluenza_3,4
624,2013-11,Bay Area,Parainfluenza_4,0
625,2013-11,Bay Area,Parainfluenza_UnknownType,0
626,2013-11,Bay Area,RSV,34
627,2013-11,Central,Adenovirus,6
628,2013-11,Central,Enterovirus_Rhinovirus,84
629,2013-11,Central,HMPV,16
630,2013-11,Central,Influenza_A,2
631,2013-11,Central,Influenza_B,0
632,2013-11,Central,Parainfluenza_1,21
633,2013-11,Central,Parainfluenza_2,0
634,2013-11,Central,Parainfluenza_3,1
635,2013-11,Central,Parainfluenza_4,6
636,2013-11,Central,Parainfluenza_UnknownType,0
637,2013-11,Central,RSV,9
638,2013-11,Northern,Adenovirus,0
639,2013-11,Northern,Enterovirus_Rhinovirus,0
640,2013-11,Northern,HMPV,0
641,2013-11,Northern,Influenza_A,5
642,2013-11,Northern,Influenza_B,0
643,2013-11,Northern,Parainfluenza_1,0
644,2013-11,Northern,Parainfluenza_2,0
645,2013-11,Northern,Parainfluenza_3,0
646,2013-11,Northern,Parainfluenza_4,0
647,2013-11,Northern,Parainfluenza_UnknownType,0
648,2013-11,Northern,RSV,6
649,2013-11,Southern,Adenovirus,10
650,2013-11,Southern,Enterovirus_Rhinovirus,114
651,2013-11,Southern,HMPV,7
652,2013-11,Southern,Influenza_A,8
653,2013-11,Southern,Influenza_B,2
654,2013-11,Southern,Parainfluenza_1,24
655,2013-11,Southern,Parainfluenza_2,1
656,2013-11,Southern,Parainfluenza_3,2
657,2013-11,Southern,Parainfluenza_4,4
658,2013-11,Southern,Parainfluenza_UnknownType,0
659,2013-11,Southern,RSV,23
660,2013-12,Bay Area,Adenovirus,11
661,2013-12,Bay Area,Enterovirus_Rhinovirus,197
662,2013-12,Bay Area,HMPV,45
663,2013-12,Bay Area,Influenza_A,838
664,2013-12,Bay Area,Influenza_B,38
665,2013-12,Bay Area,Parainfluenza_1,37
666,2013-12,Bay Area,Parainfluenza_2,0
667,2013-12,Bay Area,Parainfluenza_3,8
668,2013-12,Bay Area,Parainfluenza_4,0
669,2013-12,Bay Area,Parainfluenza_UnknownType,0
670,2013-12,Bay Area,RSV,320
671,2013-12,Central,Adenovirus,8
672,2013-12,Central,Enterovirus_Rhinovirus,123
673,2013-12,Central,HMPV,40
674,2013-12,Central,Influenza_A,234
675,2013-12,Central,Influenza_B,6
676,2013-12,Central,Parainfluenza_1,10
677,2013-12,Central,Parainfluenza_2,0
678,2013-12,Central,Parainfluenza_3,3
679,2013-12,Central,Parainfluenza_4,5
680,2013-12,Central,Parainfluenza_UnknownType,0
681,2013-12,Central,RSV,86
682,2013-12,Northern,Adenovirus,0
683,2013-12,Northern,Enterovirus_Rhinovirus,0
684,2013-12,Northern,HMPV,0
685,2013-12,Northern,Influenza_A,217
686,2013-12,Northern,Influenza_B,4
687,2013-12,Northern,Parainfluenza_1,0
688,2013-12,Northern,Parainfluenza_2,0
689,2013-12,Northern,Parainfluenza_3,0
690,2013-12,Northern,Parainfluenza_4,0
691,2013-12,Northern,Parainfluenza_UnknownType,0
692,2013-12,Northern,RSV,50
693,2013-12,Southern,Adenovirus,17
694,2013-12,Southern,Enterovirus_Rhinovirus,121
695,2013-12,Southern,HMPV,42
696,2013-12,Southern,Influenza_A,136
697,2013-12,Southern,Influenza_B,34
