,season,date_code,weekending,region,Respiratory_Virus,year,month,Number_Positive
88,2009-2010,2010-02-01,2010-01-31,Central,Influenza_ANotSubtyped,2010,2,0
89,2009-2010,2010-02-01,2010-01-31,Central,Influenza_B,2010,2,0
90,2009-2010,2010-02-01,2010-01-31,Northern,Influenza_AH1,2010,2,0
91,2009-2010,2010-02-01,2010-01-31,Northern,Influenza_AH1pdm09,2010,2,0
92,2009-2010,2010-02-01,2010-01-31,Northern,Influenza_AH3,2010,2,0
93,2009-2010,2010-02-01,2010-01-31,Northern,Influenza_ANotSubtyped,2010,2,1
94,2009-2010,2010-02-01,2010-01-31,Northern,Influenza_B,2010,2,0
95,2009-2010,2010-02-01,2010-01-31,Southern,Influenza_AH1,2010,2,0
96,2009-2010,2010-02-01,2010-01-31,Southern,Influenza_AH1pdm09,2010,2,0
97,2009-2010,2010-02-01,2010-01-31,Southern,Influenza_AH3,2010,2,0
98,2009-2010,2010-02-01,2010-01-31,Southern,Influenza_ANotSubtyped,2010,2,3
99,2009-2010,2010-02-01,2010-01-31,Southern,Influenza_B,2010,2,0
100,2009-2010,2010-02-08,2010-02-07,Bay Area,Influenza_AH1,2010,2,0
101,2009-2010,2010-02-08,2010-02-07,Bay Area,Influenza_AH1pdm09,2010,2,0
102,2009-2010,2010-02-08,2010-02-07,Bay Area,Influenza_AH3,2010,2,0
103,2009-2010,2010-02-08,2010-02-07,Bay Area,Influenza_ANotSubtyped,2010,2,1
104,2009-2010,2010-02-08,2010-02-07,Bay Area,Influenza_B,2010,2,0
105,2009-2010,2010-02-08,2010-02-07,Central,Influenza_AH1,2010,2,0
106,2009-2010,2010-02-08,2010-02-07,Central,Influenza_AH1pdm09,2010,2,0
107,2009-2010,2010-02-08,2010-02-07,Central,Influenza_AH3,2010,2,0
108,2009-2010,2010-02-08,2010-02-07,Central,Influenza_ANotSubtyped,2010,2,1
109,2009-2010,2010-02-08,2010-02-07,Central,Influenza_B,2010,2,0
110,2009-2010,2010-02-08,2010-02-07,Northern,Influenza_AH1,2010,2,0
111,2009-2010,2010-02-08,2010-02-07,Northern,Influenza_AH1pdm09,2010,2,0
112,2009-2010,2010-02-08,2010-02-07,Northern,Influenza_AH3,2010,2,0
113,2009-2010,2010-02-08,2010-02-07,Northern,Influenza_ANotSubtyped,2010,2,0
114,2009-2010,2010-02-08,2010-02-07,Northern,Influenza_B,2010,2,0
115,2009-2010,2010-02-08,2010-02-07,Southern,Influenza_AH1,2010,2,0
116,2009-2010,2010-02-08,2010-02-07,Southern,Influenza_AH1pdm09,2010,2,0
117,2009-2010,2010-02-08,2010-02-07,Southern,Influenza_AH3,2010,2,0
118,2009-2010,2010-02-08,2010-02-07,Southern,Influenza_ANotSubtyped,2010,2,5
119,2009-2010,2010-02-08,2010-02-07,Southern,Influenza_B,2010,2,0
120,2009-2010,2010-02-15,2010-02-14,Bay Area,Influenza_AH1,2010,2,0
121,2009-2010,2010-02-15,2010-02-14,Bay Area,Influenza_AH1pdm09,2010,2,0
122,2009-2010,2010-02-15,2010-02-14,Bay Area,Influenza_AH3,2010,2,0
123,2009-2010,2010-02-15,2010-02-14,Bay Area,Influenza_ANotSubtyped,2010,2,2
124,2009-2010,2010-02-15,2010-02-14,Bay Area,Influenza_B,2010,2,0
125,2009-2010,2010-02-15,2010-02-14,Central,Influenza_AH1,2010,2,0
126,2009-2010,2010-02-15,2010-02-14,Central,Influenza_AH1pdm09,2010,2,0
127,2009-2010,2010-02-15,2010-02-14,Central,Influenza_AH3,2010,2,0
128,2009-2010,2010-02-15,2010-02-14,Central,Influenza_ANotSubtyped,2010,2,2
129,2009-2010,2010-02-15,2010-02-14,Central,Influenza_B,2010,2,0
130,2009-2010,2010-02-15,2010-02-14,Northern,Influenza_AH1,2010,2,0
131,2009-2010,2010-02-15,2010-02-14,Northern,Influenza_AH1pdm09,2010,2,0
132,2009-2010,2010-02-15,2010-02-14,Northern,Influenza_AH3,2010,2,0
133,2009-2010,2010-02-15,2010-02-14,Northern,Influenza_ANotSubtyped,2010,2,1
134,2009-2010,2010-02-15,2010-02-14,Northern,Influenza_B,2010,2,0
135,2009-2010,2010-02-15,2010-02-14,Southern,Influenza_AH1,2010,2,0
136,2009-2010,2010-02-15,2010-02-14,Southern,Influenza_AH1pdm09,2010,2,0
137,2009-2010,2010-02-15,2010-02-14,Southern,Influenza_AH3,2010,2,0
138,2009-2010,2010-02-15,2010-02-14,Southern,Influenza_ANotSubtyped,2010,2,6
139,2009-2010,2010-02-15,2010-02-14,Southern,Influenza_B,2010,2,0
140,2009-2010,2010-02-22,2010-02-21,Bay Area,Influenza_AH1,2010,2,0
141,2009-2010,2010-02-22,2010-02-21,Bay Area,Influenza_AH1pdm09,2010,2,0
142,2009-2010,2010-02-22,2010-02-21,Bay Area,Influenza_AH3,2010,2,0
143,2009-2010,2010-02-22,2010-02-21,Bay Area,Influenza_ANotSubtyped,2010,2,1
144,2009-2010,2010-02-22,2010-02-21,Bay Area,Influenza_B,2010,2,0
145,2009-2010,2010-02-22,2010-02-21,Central,Influenza_AH1,2010,2,0
146,2009-2010,2010-02-22,2010-02-21,Central,Influenza_AH1pdm09,2010,2,0
147,2009-2010,2010-02-22,2010-02-21,Central,Influenza_AH3,2010,2,0
148,2009-2010,2010-02-22,2010-02-21,Central,Influenza_ANotSubtyped,2010,2,0
149,2009-2010,2010-02-22,2010-02-21,Central,Influenza_B,2010,2,0
150,2009-2010,2010-02-22,2010-02-21,Northern,Influenza_AH1,2010,2,0
151,2009-2010,2010-02-22,2010-02-21,Northern,Influenza_AH1pdm09,2010,2,0
152,2009-2010,2010-02-22,2010-02-21,Northern,Influenza_AH3,2010,2,0
153,2009-2010,2010-02-22,2010-02-21,Northern,Influenza_ANotSubtyped,2010,2,1
154,2009-2010,2010-02-22,2010-02-21,Northern,Influenza_B,2010,2,0
155,2009-2010,2010-02-22,2010-02-21,Southern,Influenza_AH1,2010,2,0
156,2009-2010,2010-02-22,2010-02-21,Southern,Influenza_AH1pdm09,2010,2,0
157,2009-2010,2010-02-22,2010-02-21,Southern,Influenza_AH3,2010,2,1
158,2009-2010,2010-02-22,2010-02-21,Southern,Influenza_ANotSubtyped,2010,2,2
159,2009-2010,2010-02-22,2010-02-21,Southern,Influenza_B,2010,2,0
160,2009-2010,2010-03-01,2010-02-28,Bay Area,Influenza_AH1,2010,3,0
161,2009-2010,2010-03-01,2010-02-28,Bay Area,Influenza_AH1pdm09,2010,3,0
162,2009-2010,2010-03-01,2010-02-28,Bay Area,Influenza_AH3,2010,3,0
163,2009-2010,2010-03-01,2010-02-28,Bay Area,Influenza_ANotSubtyped,2010,3,0
164,2009-2010,2010-03-01,2010-02-28,Bay Area,Influenza_B,2010,3,0
165,2009-2010,2010-03-01,2010-02-28,Central,Influenza_AH1,2010,3,0
166,2009-2010,2010-03-01,2010-02-28,Central,Influenza_AH1pdm09,2010,3,0
167,2009-2010,2010-03-01,2010-02-28,Central,Influenza_AH3,2010,3,0
168,2009-2010,2010-03-01,2010-02-28,Central,Influenza_ANotSubtyped,2010,3,0
169,2009-2010,2010-03-01,2010-02-28,Central,Influenza_B,2010,3,0
170,2009-2010,2010-03-01,2010-02-28,Northern,Influenza_AH1,2010,3,0
171,2009-2010,2010-03-01,2010-02-28,Northern,Influenza_AH1pdm09,2010,3,0
172,2009-2010,2010-03-01,2010-02-28,Northern,Influenza_AH3,2010,3,0
173,2009-2010,2010-03-01,2010-02-28,Northern,Influenza_ANotSubtyped,2010,3,0
174,2009-2010,2010-03-01,2010-02-28,Northern,Influenza_B,2010,3,0
175,2009-2010,2010-03-01,2010-02-28,Southern,Influenza_AH1,2010,3,0
176,2009-2010,2010-03-01,2010-02-28,Southern,Influenza_AH1pdm09,2010,3,0
177,2009-2010,2010-03-01,2010-02-28,Southern,Influenza_AH3,2010,3,0
178,2009-2010,2010-03-01,2010-02-28,Southern,Influenza_ANotSubtyped,2010,3,0
179,2009-2010,2010-03-01,2010-02-28,Southern,Influenza_B,2010,3,0
180,2009-2010,2010-03-08,2010-03-07,Bay Area,Influenza_AH1,2010,3,0
181,2009-2010,2010-03-08,2010-03-07,Bay Area,Influenza_AH1pdm09,2010,3,0
182,2009-2010,2010-03-08,2010-03-07,Bay Area,Influenza_AH3,2010,3,0
183,2009-2010,2010-03-08,2010-03-07,Bay Area,Influenza_ANotSubtyped,2010,3,0
184,2009-2010,2010-03-08,2010-03-07,Bay Area,Influenza_B,2010,3,0
185,2009-2010,2010-03-08,2010-03-07,Central,Influenza_AH1,2010,3,0
186,2009-2010,2010-03-08,2010-03-07,Central,Influenza_AH1pdm09,2010,3,0
187,2009-2010,2010-03-08,2010-03-07,Central,Influenza_AH3,2010,3,0
188,2009-2010,2010-03-08,2010-03-07,Central,Influenza_ANotSubtyped,2010,3,0
189,2009-2010,2010-03-08,2010-03-07,Central,Influenza_B,2010,3,0
190,2009-2010,2010-03-08,2010-03-07,Northern,Influenza_AH1,2010,3,0
191,2009-2010,2010-03-08,2010-03-07,Northern,Influenza_AH1pdm09,2010,3,0
192,2009-2010,2010-03-08,2010-03-07,Northern,Influenza_AH3,2010,3,0
193,2009-2010,2010-03-08,2010-03-07,Northern,Influenza_ANotSubtyped,2010,3,0
194,2009-2010,2010-03-08,2010-03-07,Northern,Influenza_B,2010,3,0
195,2009-2010,2010-03-08,2010-03-07,Southern,Influenza_AH1,2010,3,0
196,2009-2010,2010-03-08,2010-03-07,Southern,Influenza_AH1pdm09,2010,3,0
197,2009-2010,2010-03-08,2010-03-07,Southern,Influenza_AH3,2010,3,0
198,2009-2010,2010-03-08,2010-03-07,Southern,Influenza_ANotSubtyped,2010,3,2
199,2009-2010,2010-03-08,2010-03-07,Southern,Influenza_B,2010,3,0
200,2009-2010,2010-03-15,2010-03-14,Bay Area,Influenza_AH1,2010,3,0
201,2009-2010,2010-03-15,2010-03-14,Bay Area,Influenza_AH1pdm09,2010,3,0
202,2009-2010,2010-03-15,2010-03-14,Bay Area,Influenza_AH3,2010,3,0
203,2009-2010,2010-03-15,2010-03-14,Bay Area,Influenza_ANotSubtyped,2010,3,2
204,2009-2010,2010-03-15,2010-03-14,Bay Area,Influenza_B,2010,3,0
205,2009-2010,2010-03-15,2010-03-14,Central,Influenza_AH1,2010,3,0
206,2009-2010,2010-03-15,2010-03-14,Central,Influenza_AH1pdm09,2010,3,0
207,2009-2010,2010-03-15,2010-03-14,Central,Influenza_AH3,2010,3,0
208,2009-2010,2010-03-15,2010-03-14,Central,Influenza_ANotSubtyped,2010,3,0
209,2009-2010,2010-03-15,2010-03-14,Central,Influenza_B,2010,3,0
210,2009-2010,2010-03-15,2010-03-14,Northern,Influenza_AH1,2010,3,0
211,2009-2010,2010-03-15,2010-03-14,Northern,Influenza_AH1pdm09,2010,3,0
212,2009-2010,2010-03-15,2010-03-14,Northern,Influenza_AH3,2010,3,0
213,2009-2010,2010-03-15,2010-03-14,Northern,Influenza_ANotSubtyped,2010,3,0
214,2009-2010,2010-03-15,2010-03-14,Northern,Influenza_B,2010,3,0
215,2009-2010,2010-03-15,2010-03-14,Southern,Influenza_AH1,2010,3,0
216,2009-2010,2010-03-15,2010-03-14,Southern,Influenza_AH1pdm09,2010,3,0
217,2009-2010,2010-03-15,2010-03-14,Southern,Influenza_AH3,2010,3,0
218,2009-2010,2010-03-15,2010-03-14,Southern,Influenza_ANotSubtyped,2010,3,1
219,2009-2010,2010-03-15,2010-03-14,Southern,Influenza_B,2010,3,0
220,2009-2010,2010-03-22,2010-03-21,Bay Area,Influenza_AH1,2010,3,0
221,2009-2010,2010-03-22,2010-03-21,Bay Area,Influenza_AH1pdm09,2010,3,0
222,2009-2010,2010-03-22,2010-03-21,Bay Area,Influenza_AH3,2010,3,0
223,2009-2010,2010-03-22,2010-03-21,Bay Area,Influenza_ANotSubtyped,2010,3,0
224,2009-2010,2010-03-22,2010-03-21,Bay Area,Influenza_B,2010,3,0
225,2009-2010,2010-03-22,2010-03-21,Central,Influenza_AH1,2010,3,0
226,2009-2010,2010-03-22,2010-03-21,Central,Influenza_AH1pdm09,2010,3,0
227,2009-2010,2010-03-22,2010-03-21,Central,Influenza_AH3,2010,3,0
228,2009-2010,2010-03-22,2010-03-21,Central,Influenza_ANotSubtyped,2010,3,0
229,2009-2010,2010-03-22,2010-03-21,Central,Influenza_B,2010,3,0
230,2009-2010,2010-03-22,2010-03-21,Northern,Influenza_AH1,2010,3,0
231,2009-2010,2010-03-22,2010-03-21,Northern,Influenza_AH1pdm09,2010,3,0
232,2009-2010,2010-03-22,2010-03-21,Northern,Influenza_AH3,2010,3,0
233,2009-2010,2010-03-22,2010-03-21,Northern,Influenza_ANotSubtyped,2010,3,0
234,2009-2010,2010-03-22,2010-03-21,Northern,Influenza_B,2010,3,0
235,2009-2010,2010-03-22,2010-03-21,Southern,Influenza_AH1,2010,3,0
236,2009-2010,2010-03-22,2010-03-21,Southern,Influenza_AH1pdm09,2010,3,0
237,2009-2010,2010-03-22,2010-03-21,Southern,Influenza_AH3,2010,3,0
238,2009-2010,2010-03-22,2010-03-21,Southern,Influenza_ANotSubtyped,2010,3,1
239,2009-2010,2010-03-22,2010-03-21,Southern,Influenza_B,2010,3,0
240,2009-2010,2010-03-29,2010-03-28,Bay Area,Influenza_AH1,2010,3,0
241,2009-2010,2010-03-29,2010-03-28,Bay Area,Influenza_AH1pdm09,2010,3,0
242,2009-2010,2010-03-29,2010-03-28,Bay Area,Influenza_AH3,2010,3,0
243,2009-2010,2010-03-29,2010-03-28,Bay Area,Influenza_ANotSubtyped,2010,3,1
244,2009-2010,2010-03-29,2010-03-28,Bay Area,Influenza_B,2010,3,0
245,2009-2010,2010-03-29,2010-03-28,Central,Influenza_AH1,2010,3,0
246,2009-2010,2010-03-29,2010-03-28,Central,Influenza_AH1pdm09,2010,3,0
247,2009-2010,2010-03-29,2010-03-28,Central,Influenza_AH3,2010,3,0
248,2009-2010,2010-03-29,2010-03-28,Central,Influenza_ANotSubtyped,2010,3,0
249,2009-2010,2010-03-29,2010-03-28,Central,Influenza_B,2010,3,0
250,2009-2010,2010-03-29,2010-03-28,Northern,Influenza_AH1,2010,3,0
251,2009-2010,2010-03-29,2010-03-28,Northern,Influenza_AH1pdm09,2010,3,0
252,2009-2010,2010-03-29,2010-03-28,Northern,Influenza_AH3,2010,3,0
253,2009-2010,2010-03-29,2010-03-28,Northern,Influenza_ANotSubtyped,2010,3,0
254,2009-2010,2010-03-29,2010-03-28,Northern,Influenza_B,2010,3,0
255,2009-2010,2010-03-29,2010-03-28,Southern,Influenza_AH1,2010,3,0
256,2009-2010,2010-03-29,2010-03-28,Southern,Influenza_AH1pdm09,2010,3,0
257,2009-2010,2010-03-29,2010-03-28,Southern,Influenza_AH3,2010,3,0
258,2009-2010,2010-03-29,2010-03-28,Southern,Influenza_ANotSubtyped,2010,3,1
259,2009-2010,2010-03-29,2010-03-28,Southern,Influenza_B,2010,3,1
260,2009-2010,2010-04-05,2010-04-04,Bay Area,Influenza_AH1,2010,4,0
261,2009-2010,2010-04-05,2010-04-04,Bay Area,Influenza_AH1pdm09,2010,4,0
262,2009-2010,2010-04-05,2010-04-04,Bay Area,Influenza_AH3,2010,4,0
263,2009-2010,2010-04-05,2010-04-04,Bay Area,Influenza_ANotSubtyped,2010,4,0
264,2009-2010,2010-04-05,2010-04-04,Bay Area,Influenza_B,2010,4,0
265,2009-2010,2010-04-05,2010-04-04,Central,Influenza_AH1,2010,4,0
266,2009-2010,2010-04-05,2010-04-04,Central,Influenza_AH1pdm09,2010,4,0
267,2009-2010,2010-04-05,2010-04-04,Central,Influenza_AH3,2010,4,0
268,2009-2010,2010-04-05,2010-04-04,Central,Influenza_ANotSubtyped,2010,4,0
269,2009-2010,2010-04-05,2010-04-04,Central,Influenza_B,2010,4,0
270,2009-2010,2010-04-05,2010-04-04,Northern,Influenza_AH1,2010,4,0
271,2009-2010,2010-04-05,2010-04-04,Northern,Influenza_AH1pdm09,2010,4,0
272,2009-2010,2010-04-05,2010-04-04,Northern,Influenza_AH3,2010,4,0
273,2009-2010,2010-04-05,2010-04-04,Northern,Influenza_ANotSubtyped,2010,4,0
274,2009-2010,2010-04-05,2010-04-04,Northern,Influenza_B,2010,4,0
275,2009-2010,2010-04-05,2010-04-04,Southern,Influenza_AH1,2010,4,0
276,2009-2010,2010-04-05,2010-04-04,Southern,Influenza_AH1pdm09,2010,4,0
277,2009-2010,2010-04-05,2010-04-04,Southern,Influenza_AH3,2010,4,0
278,2009-2010,2010-04-05,2010-04-04,Southern,Influenza_ANotSubtyped,2010,4,3
279,2009-2010,2010-04-05,2010-04-04,Southern,Influenza_B,2010,4,0
280,2009-2010,2010-04-12,2010-04-11,Bay Area,Influenza_AH1,2010,4,0
281,2009-2010,2010-04-12,2010-04-11,Bay Area,Influenza_AH1pdm09,2010,4,0
282,2009-2010,2010-04-12,2010-04-11,Bay Area,Influenza_AH3,2010,4,0
283,2009-2010,2010-04-12,2010-04-11,Bay Area,Influenza_ANotSubtyped,2010,4,0
284,2009-2010,2010-04-12,2010-04-11,Bay Area,Influenza_B,2010,4,0
285,2009-2010,2010-04-12,2010-04-11,Central,Influenza_AH1,2010,4,0
286,2009-2010,2010-04-12,2010-04-11,Central,Influenza_AH1pdm09,2010,4,0
287,2009-2010,2010-04-12,2010-04-11,Central,Influenza_AH3,2010,4,0
288,2009-2010,2010-04-12,2010-04-11,Central,Influenza_ANotSubtyped,2010,4,1
289,2009-2010,2010-04-12,2010-04-11,Central,Influenza_B,2010,4,0
290,2009-2010,2010-04-12,2010-04-11,Northern,Influenza_AH1,2010,4,0
291,2009-2010,2010-04-12,2010-04-11,Northern,Influenza_AH1pdm09,2010,4,0
292,2009-2010,2010-04-12,2010-04-11,Northern,Influenza_AH3,2010,4,0
293,2009-2010,2010-04-12,2010-04-11,Northern,Influenza_ANotSubtyped,2010,4,0
294,2009-2010,2010-04-12,2010-04-11,Northern,Influenza_B,2010,4,0
295,2009-2010,2010-04-12,2010-04-11,Southern,Influenza_AH1,2010,4,0
296,2009-2010,2010-04-12,2010-04-11,Southern,Influenza_AH1pdm09,2010,4,0
297,2009-2010,2010-04-12,2010-04-11,Southern,Influenza_AH3,2010,4,0
298,2009-2010,2010-04-12,2010-04-11,Southern,Influenza_ANotSubtyped,2010,4,1
299,2009-2010,2010-04-12,2010-04-11,Southern,Influenza_B,2010,4,0
300,2009-2010,2010-04-19,2010-04-18,Bay Area,Influenza_AH1,2010,4,0
301,2009-2010,2010-04-19,2010-04-18,Bay Area,Influenza_AH1pdm09,2010,4,0
302,2009-2010,2010-04-19,2010-04-18,Bay Area,Influenza_AH3,2010,4,0
303,2009-2010,2010-04-19,2010-04-18,Bay Area,Influenza_ANotSubtyped,2010,4,0
304,2009-2010,2010-04-19,2010-04-18,Bay Area,Influenza_B,2010,4,0
305,2009-2010,2010-04-19,2010-04-18,Central,Influenza_AH1,2010,4,0
306,2009-2010,2010-04-19,2010-04-18,Central,Influenza_AH1pdm09,2010,4,0
307,2009-2010,2010-04-19,2010-04-18,Central,Influenza_AH3,2010,4,0
308,2009-2010,2010-04-19,2010-04-18,Central,Influenza_ANotSubtyped,2010,4,1
309,2009-2010,2010-04-19,2010-04-18,Central,Influenza_B,2010,4,0
310,2009-2010,2010-04-19,2010-04-18,Northern,Influenza_AH1,2010,4,0
311,2009-2010,2010-04-19,2010-04-18,Northern,Influenza_AH1pdm09,2010,4,0
312,2009-2010,2010-04-19,2010-04-18,Northern,Influenza_AH3,2010,4,0
313,2009-2010,2010-04-19,2010-04-18,Northern,Influenza_ANotSubtyped,2010,4,0
314,2009-2010,2010-04-19,2010-04-18,Northern,Influenza_B,2010,4,0
315,2009-2010,2010-04-19,2010-04-18,Southern,Influenza_AH1,2010,4,0
316,2009-2010,2010-04-19,2010-04-18,Southern,Influenza_AH1pdm09,2010,4,0
317,2009-2010,2010-04-19,2010-04-18,Southern,Influenza_AH3,2010,4,0
318,2009-2010,2010-04-19,2010-04-18,Southern,Influenza_ANotSubtyped,2010,4,1
